cl_nationality_gen_ord,cl_nationality_gen_en,cl_sex_gen_ord,cl_sex_gen_en,period,cl_quarter_gen_ord,cl_quarter_gen_en,cl_indicators_lf_en,cl_age_group_10_lf_en,obs_value,data_source,is_estimated
999.0,Total,1.0,Male,2013,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.78,estimated_not_official,True
999.0,Total,2.0,Female,2013,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,19.98,estimated_not_official,True
999.0,Total,999.0,Total,2013,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,5.69,estimated_not_official,True
1.0,Saudi,1.0,Male,2013,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,6.63,estimated_not_official,True
1.0,Saudi,2.0,Female,2013,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,33.74,estimated_not_official,True
1.0,Saudi,999.0,Total,2013,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,21.2,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2013,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.93,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2013,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.09,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2013,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.6,estimated_not_official,True
999.0,Total,1.0,Male,2013,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.75,estimated_not_official,True
999.0,Total,2.0,Female,2013,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,19.89,estimated_not_official,True
999.0,Total,999.0,Total,2013,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,5.66,estimated_not_official,True
1.0,Saudi,1.0,Male,2014,1.0,First Quarter,Unemployment rate by nationality and sex,Total,6.67,estimated_not_official,True
1.0,Saudi,2.0,Female,2014,1.0,First Quarter,Unemployment rate by nationality and sex,Total,33.65,estimated_not_official,True
1.0,Saudi,999.0,Total,2014,1.0,First Quarter,Unemployment rate by nationality and sex,Total,21.17,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2014,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.81,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2014,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.01,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2014,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.56,estimated_not_official,True
999.0,Total,1.0,Male,2014,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.76,estimated_not_official,True
999.0,Total,2.0,Female,2014,1.0,First Quarter,Unemployment rate by nationality and sex,Total,19.68,estimated_not_official,True
999.0,Total,999.0,Total,2014,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.61,estimated_not_official,True
1.0,Saudi,1.0,Male,2014,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,6.6,estimated_not_official,True
1.0,Saudi,2.0,Female,2014,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,33.71,estimated_not_official,True
1.0,Saudi,999.0,Total,2014,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,21.16,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2014,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.78,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2014,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.16,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2014,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.59,estimated_not_official,True
999.0,Total,1.0,Male,2014,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.84,estimated_not_official,True
999.0,Total,2.0,Female,2014,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,19.97,estimated_not_official,True
999.0,Total,999.0,Total,2014,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,5.7,estimated_not_official,True
1.0,Saudi,1.0,Male,2014,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,6.53,estimated_not_official,True
1.0,Saudi,2.0,Female,2014,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,33.54,estimated_not_official,True
1.0,Saudi,999.0,Total,2014,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,21.03,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2014,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.78,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2014,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.21,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2014,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.6,estimated_not_official,True
999.0,Total,1.0,Male,2014,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.58,estimated_not_official,True
999.0,Total,2.0,Female,2014,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,20.0,estimated_not_official,True
999.0,Total,999.0,Total,2014,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,5.64,estimated_not_official,True
1.0,Saudi,1.0,Male,2014,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,6.61,estimated_not_official,True
1.0,Saudi,2.0,Female,2014,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,33.55,estimated_not_official,True
1.0,Saudi,999.0,Total,2014,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,21.08,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2014,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.79,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2014,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.16,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2014,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.59,estimated_not_official,True
999.0,Total,1.0,Male,2014,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.73,estimated_not_official,True
999.0,Total,2.0,Female,2014,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,20.15,estimated_not_official,True
999.0,Total,999.0,Total,2014,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,5.72,estimated_not_official,True
1.0,Saudi,1.0,Male,2015,1.0,First Quarter,Unemployment rate by nationality and sex,Total,6.54,estimated_not_official,True
1.0,Saudi,2.0,Female,2015,1.0,First Quarter,Unemployment rate by nationality and sex,Total,33.47,estimated_not_official,True
1.0,Saudi,999.0,Total,2015,1.0,First Quarter,Unemployment rate by nationality and sex,Total,21.0,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2015,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.85,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2015,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.04,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2015,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.58,estimated_not_official,True
999.0,Total,1.0,Male,2015,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.73,estimated_not_official,True
999.0,Total,2.0,Female,2015,1.0,First Quarter,Unemployment rate by nationality and sex,Total,19.99,estimated_not_official,True
999.0,Total,999.0,Total,2015,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.68,estimated_not_official,True
1.0,Saudi,1.0,Male,2015,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,6.65,estimated_not_official,True
1.0,Saudi,2.0,Female,2015,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,33.26,estimated_not_official,True
1.0,Saudi,999.0,Total,2015,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,20.95,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2015,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.86,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2015,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.18,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2015,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.61,estimated_not_official,True
999.0,Total,1.0,Male,2015,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.88,estimated_not_official,True
999.0,Total,2.0,Female,2015,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,20.09,estimated_not_official,True
999.0,Total,999.0,Total,2015,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,5.74,estimated_not_official,True
1.0,Saudi,1.0,Male,2015,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,6.89,estimated_not_official,True
1.0,Saudi,2.0,Female,2015,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,33.27,estimated_not_official,True
1.0,Saudi,999.0,Total,2015,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,21.08,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2015,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.76,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2015,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.33,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2015,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.62,estimated_not_official,True
999.0,Total,1.0,Male,2015,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.92,estimated_not_official,True
999.0,Total,2.0,Female,2015,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,20.36,estimated_not_official,True
999.0,Total,999.0,Total,2015,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,5.82,estimated_not_official,True
1.0,Saudi,1.0,Male,2015,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,6.86,estimated_not_official,True
1.0,Saudi,2.0,Female,2015,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,33.23,estimated_not_official,True
1.0,Saudi,999.0,Total,2015,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,21.05,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2015,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.6,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2015,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.42,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2015,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.6,estimated_not_official,True
999.0,Total,1.0,Male,2015,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.85,estimated_not_official,True
999.0,Total,2.0,Female,2015,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,20.21,estimated_not_official,True
999.0,Total,999.0,Total,2015,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,5.77,estimated_not_official,True
1.0,Saudi,1.0,Male,2016,1.0,First Quarter,Unemployment rate by nationality and sex,Total,6.82,estimated_not_official,True
1.0,Saudi,2.0,Female,2016,1.0,First Quarter,Unemployment rate by nationality and sex,Total,33.45,estimated_not_official,True
1.0,Saudi,999.0,Total,2016,1.0,First Quarter,Unemployment rate by nationality and sex,Total,21.14,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2016,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.62,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2016,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.32,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2016,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.59,estimated_not_official,True
999.0,Total,1.0,Male,2016,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.89,estimated_not_official,True
999.0,Total,2.0,Female,2016,1.0,First Quarter,Unemployment rate by nationality and sex,Total,19.97,estimated_not_official,True
999.0,Total,999.0,Total,2016,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.72,estimated_not_official,True
1.0,Saudi,1.0,Male,2016,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,7.05,estimated_not_official,True
1.0,Saudi,2.0,Female,2016,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,33.24,estimated_not_official,True
1.0,Saudi,999.0,Total,2016,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,21.15,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2016,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.52,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2016,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.26,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2016,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.56,estimated_not_official,True
999.0,Total,1.0,Male,2016,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.99,estimated_not_official,True
999.0,Total,2.0,Female,2016,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,19.82,estimated_not_official,True
999.0,Total,999.0,Total,2016,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,5.7,estimated_not_official,True
1.0,Saudi,1.0,Male,2016,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,7.15,estimated_not_official,True
1.0,Saudi,2.0,Female,2016,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,33.1,estimated_not_official,True
1.0,Saudi,999.0,Total,2016,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,21.13,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2016,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.59,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2016,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.31,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2016,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.58,estimated_not_official,True
999.0,Total,1.0,Male,2016,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.98,estimated_not_official,True
999.0,Total,2.0,Female,2016,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,20.26,estimated_not_official,True
999.0,Total,999.0,Total,2016,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,5.81,estimated_not_official,True
1.0,Saudi,1.0,Male,2016,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,7.13,estimated_not_official,True
1.0,Saudi,2.0,Female,2016,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,33.15,estimated_not_official,True
1.0,Saudi,999.0,Total,2016,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,21.15,estimated_not_official,True
2.0,Non-Saudi,1.0,Male,2016,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.5,estimated_not_official,True
2.0,Non-Saudi,2.0,Female,2016,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.05,estimated_not_official,True
2.0,Non-Saudi,999.0,Total,2016,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.51,estimated_not_official,True
999.0,Total,1.0,Male,2016,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,3.12,estimated_not_official,True
999.0,Total,2.0,Female,2016,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,20.37,estimated_not_official,True
999.0,Total,999.0,Total,2016,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,5.87,estimated_not_official,True
1.0,Saudi,1.0,Male,2017,1.0,First Quarter,Unemployment rate by nationality and sex,Total,7.2,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2017,1.0,First Quarter,Unemployment rate by nationality and sex,Total,33.0,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2017,1.0,First Quarter,Unemployment rate by nationality and sex,Total,12.7,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2017,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.5,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2017,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.1,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2017,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.7,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2017,1.0,First Quarter,Unemployment rate by nationality and sex,Total,3.2,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2017,1.0,First Quarter,Unemployment rate by nationality and sex,Total,20.3,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2017,1.0,First Quarter,Unemployment rate by nationality and sex,Total,5.8,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2017,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,7.4,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2017,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,33.1,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2017,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,12.8,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2017,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.7,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2017,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,3.3,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2017,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.9,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2017,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,3.3,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2017,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,22.9,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2017,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,6.0,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2017,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,7.4,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2017,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,32.7,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2017,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,12.8,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2017,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.4,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2017,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.6,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2017,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.5,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2017,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,3.2,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2017,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,21.1,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2017,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,5.8,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2017,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,7.5,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2017,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,31.0,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2017,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,12.8,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2017,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.5,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2017,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.5,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2017,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,0.7,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2017,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,3.2,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2017,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,21.1,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2017,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,6.0,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2018,1.0,First Quarter,Unemployment rate by nationality and sex,Total,7.6,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2018,1.0,First Quarter,Unemployment rate by nationality and sex,Total,30.9,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2018,1.0,First Quarter,Unemployment rate by nationality and sex,Total,12.9,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2018,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.7,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2018,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.6,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2018,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.9,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2018,1.0,First Quarter,Unemployment rate by nationality and sex,Total,3.4,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2018,1.0,First Quarter,Unemployment rate by nationality and sex,Total,21.0,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2018,1.0,First Quarter,Unemployment rate by nationality and sex,Total,6.1,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2018,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,7.6,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2018,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,31.1,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2018,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,12.9,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2018,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.5,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2018,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.5,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2018,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,0.7,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2018,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,3.3,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2018,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,20.0,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2018,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,6.0,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2018,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,7.5,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2018,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,30.9,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2018,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,12.8,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,1.0,Male,2018,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.6,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,2.0,Female,2018,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,3.1,GASTAT_LFS_via_GLMM,False
2.0,Non-Saudi,999.0,Total,2018,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.9,GASTAT_LFS_via_GLMM,False
999.0,Total,1.0,Male,2018,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,3.3,GASTAT_LFS_via_GLMM,False
999.0,Total,2.0,Female,2018,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,19.9,GASTAT_LFS_via_GLMM,False
999.0,Total,999.0,Total,2018,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,6.0,GASTAT_LFS_via_GLMM,False
1.0,Saudi,1.0,Male,2018,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,6.6,GASTAT_LFS_via_GLMM,False
1.0,Saudi,2.0,Female,2018,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,32.5,GASTAT_LFS_via_GLMM,False
1.0,Saudi,999.0,Total,2018,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,12.7,GASTAT_LFS_via_GLMM,False
